TimeStamp;NodeID;NodeCount;Schema;SF;WorkerCount;Item name;CPU ns;USER ns;BLOCKED#;BLOCKED ns;WAITED#;WAITED ns;SUMM all times;Running %;Running total%;Comment
1669157020111;1;1;tpc-di;5000.0;8;tpc.di.CustomerAccountBlackBox$CustomerAccountUpdateProducer#ALL;316000;197000;0;0;6;0;316000;100.0;1.006;
1669157020111;1;1;tpc-di;5000.0;8;tpc.di.CustomerAccountBlackBox$CustomerAccountUpdateProducer#Account;305000;189000;0;0;6;0;305000;100.0;1.006;
1669157020111;1;1;tpc-di;5000.0;8;tpc.di.MergeUpdateBlackBox$MergeUpdateProducer#FINWIRE;21764000;13088000;0;0;148;14000000;35764000;60.854;1.419;
1669157020111;1;1;tpc-di;5000.0;8;tpc.di.TradeSourceUpdateBlackBox$TradeSourceUpdateProducer#ALL;91793000;61695000;0;0;1286;4000000;95793000;95.824;2.769;
1669157020111;1;1;tpc-di;5000.0;8;tpc.di.TradeSourceUpdateBlackBox$TradeSourceUpdateProducer#TradeSource;84276000;57814000;0;0;1286;4000000;88276000;95.469;2.624;
1669157020111;1;1;tpc-di;5000.0;8;tpc.di.scheduler.CustomerMgmtScheduler#CustomerMgmt;29944000;15218000;0;0;59;0;29944000;100.0;1.577;
1669157020111;1;1;tpc-di;5000.0;8;tpc.di.scheduler.CustomerMgmtUpdateRowWorker#worker#0;100418000;92499000;0;0;1083;245000000;345418000;29.071;2.935;
1669157020111;1;1;tpc-di;5000.0;8;tpc.di.scheduler.CustomerMgmtUpdateRowWorker#worker#1;26351000;19115000;0;0;1209;334000000;360351000;7.313;1.508;
1669157020111;1;1;tpc-di;5000.0;8;tpc.di.scheduler.CustomerMgmtUpdateRowWorker#worker#2;19302000;12595000;0;0;1216;340000000;359302000;5.372;1.372;
1669157020111;1;1;tpc-di;5000.0;8;tpc.di.scheduler.CustomerMgmtUpdateRowWorker#worker#3;17174000;10820000;0;0;1217;343000000;360174000;4.768;1.331;
1669157020111;1;1;tpc-di;5000.0;8;tpc.di.scheduler.CustomerMgmtUpdateRowWorker#worker#4;20180000;14105000;0;0;1194;340000000;360180000;5.603;1.389;
1669157020111;1;1;tpc-di;5000.0;8;tpc.di.scheduler.CustomerMgmtUpdateRowWorker#worker#5;14267000;8591000;0;0;1214;346000000;360267000;3.96;1.275;
1669157020111;1;1;tpc-di;5000.0;8;tpc.di.scheduler.CustomerMgmtUpdateRowWorker#worker#6;18531000;12984000;18;0;1197;341000000;359531000;5.154;1.357;
1669157020111;1;1;tpc-di;5000.0;8;tpc.di.scheduler.CustomerMgmtUpdateRowWorker#worker#7;15697000;10694000;0;0;1159;343000000;358697000;4.376;1.302;
1669157230555;1;1;tpc-di;3000.0;8;ALL#SCHEDULERS;38765651000;17636309000;0;0;3122656;2105562000000;2144327651000;1.808;879.243;
1669157230555;1;1;tpc-di;3000.0;8;ALL#pdgf.util.caching.experimental.BucketSortOutputFileWriterIMPL$HouseKeeper;2406305000;448103000;0;0;175898;17587000000;19993305000;12.036;55.515;
1669157230555;1;1;tpc-di;3000.0;8;ALL#worker#0;1866713000;1760203000;0;0;14030;1976000000;3842713000;48.578;43.291;
1669157230555;1;1;tpc-di;3000.0;8;ALL#worker#1;1866497000;1754127000;1;0;13064;2006000000;3872497000;48.199;43.286;
1669157230555;1;1;tpc-di;3000.0;8;ALL#worker#2;1786991000;1675522000;3;11000000;12169;2055000000;3852991000;46.379;41.485;
1669157230555;1;1;tpc-di;3000.0;8;ALL#worker#3;1756503000;1655505000;1;0;12410;2144000000;3900503000;45.033;40.794;
1669157230555;1;1;tpc-di;3000.0;8;ALL#worker#4;1726880000;1627298000;2;0;12404;2179000000;3905880000;44.212;40.123;
1669157230555;1;1;tpc-di;3000.0;8;ALL#worker#5;1719010000;1627147000;2;0;12423;2245000000;3964010000;43.365;39.944;
1669157230555;1;1;tpc-di;3000.0;8;ALL#worker#6;1619170000;1528489000;49;0;12222;2323000000;3942170000;41.073;37.683;
1669157230555;1;1;tpc-di;3000.0;8;ALL#worker#7;1589921000;1499199000;17;0;11837;2340000000;3929921000;40.457;37.02;
1669157230555;1;1;tpc-di;3000.0;8;All#PausedThread;288288000;115213000;0;0;9701;4052000000;4340288000;6.642;7.531;
1669157230555;1;1;tpc-di;3000.0;8;pdgf.core.dataGenerator.CDCUpdateProducer#ALL;73101000;48759000;0;0;845;2000000;75101000;97.337;2.656;
1669157230555;1;1;tpc-di;3000.0;8;pdgf.core.dataGenerator.CDCUpdateProducer#BatchDate;566000;413000;0;0;5;0;566000;100.0;1.013;
1669157230555;1;1;tpc-di;3000.0;8;pdgf.core.dataGenerator.CDCUpdateProducer#Customer;207000;87000;0;0;1;0;207000;100.0;1.005;
1669157230555;1;1;tpc-di;3000.0;8;pdgf.core.dataGenerator.CDCUpdateProducer#DailyMarket;34770000;20589000;0;0;585;2000000;36770000;94.561;1.788;
1669157230555;1;1;tpc-di;3000.0;8;pdgf.core.dataGenerator.CDCUpdateProducer#WatchHistory;29537000;22783000;0;0;254;0;29537000;100.0;1.669;
1669157230555;1;1;tpc-di;3000.0;8;pdgf.core.dataGenerator.scheduler.DbDumpUpdateScheduler#Prospect;640000;235000;0;0;6;135000000;135640000;0.472;1.014;
1669157230555;1;1;tpc-di;3000.0;8;pdgf.core.dataGenerator.scheduler.DefaultScheduler#Date;111000;53000;0;0;0;0;111000;99.999;1.003;
1669157230555;1;1;tpc-di;3000.0;8;pdgf.core.dataGenerator.scheduler.DefaultScheduler#HR;70000;35000;0;0;0;0;70000;99.999;1.002;
1669157230555;1;1;tpc-di;3000.0;8;pdgf.core.dataGenerator.scheduler.DefaultScheduler#Industry;41000;14000;0;0;0;0;41000;99.998;1.001;
1669157230555;1;1;tpc-di;3000.0;8;pdgf.core.dataGenerator.scheduler.DefaultScheduler#StatusType;1348000;1161000;0;0;0;0;1348000;100.0;1.031;
1669157230555;1;1;tpc-di;3000.0;8;pdgf.core.dataGenerator.scheduler.DefaultScheduler#TaxRate;109000;43000;0;0;0;0;109000;99.999;1.002;
1669157230555;1;1;tpc-di;3000.0;8;pdgf.core.dataGenerator.scheduler.DefaultScheduler#Time;120000;67000;0;0;0;0;120000;99.999;1.003;
1669157230555;1;1;tpc-di;3000.0;8;pdgf.core.dataGenerator.scheduler.DefaultScheduler#TradeType;64000;17000;0;0;0;0;64000;99.998;1.001;
1669157230555;1;1;tpc-di;3000.0;8;pdgf.core.dataGenerator.scheduler.UpdateScheduler#Account;350000;151000;0;0;3;1000000;1350000;25.926;1.008;
1669157230555;1;1;tpc-di;3000.0;8;pdgf.core.dataGenerator.scheduler.UpdateScheduler#BatchDate;777000;253000;0;0;6;1000000;1777000;43.725;1.018;
1669157230555;1;1;tpc-di;3000.0;8;pdgf.core.dataGenerator.scheduler.UpdateScheduler#Customer;251000;108000;0;0;3;1000000;1251000;20.064;1.006;
1669157230555;1;1;tpc-di;3000.0;8;pdgf.core.dataGenerator.scheduler.UpdateScheduler#DailyMarket;3926452000;2091136000;0;0;277049;295062000000;298988452000;1.313;89.955;
1669157230555;1;1;tpc-di;3000.0;8;pdgf.core.dataGenerator.scheduler.UpdateScheduler#FINWIRE;366947000;215979000;0;0;21828;35957000000;36323947000;1.01;9.313;
1669157230555;1;1;tpc-di;3000.0;8;pdgf.core.dataGenerator.scheduler.UpdateScheduler#TradeSource;32933275000;14568904000;0;0;2724542;1679294000000;1712227275000;1.923;747.11;
1669157230555;1;1;tpc-di;3000.0;8;pdgf.core.dataGenerator.scheduler.UpdateScheduler#WatchHistory;1484339000;732976000;0;0;99131;95111000000;96595339000;1.537;34.628;
1669157230555;1;1;tpc-di;3000.0;8;pdgf.core.dataGenerator.worker.DbDumpRowWorker#worker#0;85332000;84749000;0;0;14;56000000;141332000;60.377;2.933;
1669157230555;1;1;tpc-di;3000.0;8;pdgf.core.dataGenerator.worker.DbDumpRowWorker#worker#1;91687000;91082000;0;0;12;42000000;133687000;68.583;3.077;
1669157230555;1;1;tpc-di;3000.0;8;pdgf.core.dataGenerator.worker.DbDumpRowWorker#worker#2;95829000;95011000;1;0;15;51000000;146829000;65.266;3.171;
1669157230555;1;1;tpc-di;3000.0;8;pdgf.core.dataGenerator.worker.DbDumpRowWorker#worker#3;80167000;79608000;0;0;12;71000000;151167000;53.032;2.816;
1669157230555;1;1;tpc-di;3000.0;8;pdgf.core.dataGenerator.worker.DbDumpRowWorker#worker#4;83401000;82785000;1;0;13;55000000;138401000;60.26;2.889;
1669157230555;1;1;tpc-di;3000.0;8;pdgf.core.dataGenerator.worker.DbDumpRowWorker#worker#5;109182000;108522000;0;0;15;50000000;159182000;68.589;3.474;
1669157230555;1;1;tpc-di;3000.0;8;pdgf.core.dataGenerator.worker.DbDumpRowWorker#worker#6;94192000;93521000;0;0;11;49000000;143192000;65.78;3.134;
1669157230555;1;1;tpc-di;3000.0;8;pdgf.core.dataGenerator.worker.DbDumpRowWorker#worker#7;97376000;96833000;0;0;15;51000000;148376000;65.628;3.206;
1669157230555;1;1;tpc-di;3000.0;8;pdgf.core.dataGenerator.worker.RowWorker#worker#0;241746000;237035000;0;0;38;128000000;369746000;65.382;6.477;
1669157230555;1;1;tpc-di;3000.0;8;pdgf.core.dataGenerator.worker.RowWorker#worker#1;369389000;363606000;0;0;36;24000000;393389000;93.899;9.369;
1669157230555;1;1;tpc-di;3000.0;8;pdgf.core.dataGenerator.worker.RowWorker#worker#2;358282000;353202000;0;0;36;26000000;384282000;93.234;9.117;
1669157230555;1;1;tpc-di;3000.0;8;pdgf.core.dataGenerator.worker.RowWorker#worker#3;358780000;353483000;0;0;35;17000000;375780000;95.476;9.128;
1669157230555;1;1;tpc-di;3000.0;8;pdgf.core.dataGenerator.worker.RowWorker#worker#4;332429000;327720000;1;0;36;28000000;360429000;92.231;8.531;
1669157230555;1;1;tpc-di;3000.0;8;pdgf.core.dataGenerator.worker.RowWorker#worker#5;343948000;338805000;0;0;36;34000000;377948000;91.004;8.792;
1669157230555;1;1;tpc-di;3000.0;8;pdgf.core.dataGenerator.worker.RowWorker#worker#6;337129000;331589000;0;0;37;28000000;365129000;92.331;8.638;
1669157230555;1;1;tpc-di;3000.0;8;pdgf.core.dataGenerator.worker.RowWorker#worker#7;353260000;348053000;1;0;40;49000000;402260000;87.819;9.003;
1669157230555;1;1;tpc-di;3000.0;8;pdgf.core.dataGenerator.worker.UpdateRowWorker#worker#0;1471986000;1377550000;0;0;12889;1652000000;3123986000;47.119;34.348;
1669157230555;1;1;tpc-di;3000.0;8;pdgf.core.dataGenerator.worker.UpdateRowWorker#worker#1;1383860000;1283902000;0;0;11836;1693000000;3076860000;44.976;32.352;
1669157230555;1;1;tpc-di;3000.0;8;pdgf.core.dataGenerator.worker.UpdateRowWorker#worker#2;1312595000;1212789000;1;11000000;10933;1734000000;3057595000;42.929;30.737;
1669157230555;1;1;tpc-di;3000.0;8;pdgf.core.dataGenerator.worker.UpdateRowWorker#worker#3;1295292000;1206022000;0;0;11211;1808000000;3103292000;41.739;30.345;
1669157230555;1;1;tpc-di;3000.0;8;pdgf.core.dataGenerator.worker.UpdateRowWorker#worker#4;1297878000;1209038000;0;0;11128;1838000000;3135878000;41.388;30.404;
1669157230555;1;1;tpc-di;3000.0;8;pdgf.core.dataGenerator.worker.UpdateRowWorker#worker#5;1254735000;1173953000;1;0;11137;1900000000;3154735000;39.773;29.426;
1669157230555;1;1;tpc-di;3000.0;8;pdgf.core.dataGenerator.worker.UpdateRowWorker#worker#6;1175754000;1096469000;49;0;10939;1987000000;3162754000;37.175;27.637;
1669157230555;1;1;tpc-di;3000.0;8;pdgf.core.dataGenerator.worker.UpdateRowWorker#worker#7;1126966000;1046697000;15;0;10578;1981000000;3107966000;36.261;26.532;
1669157230555;1;1;tpc-di;3000.0;8;tpc.di.CustomerAccountBlackBox$CustomerAccountUpdateProducer#ALL;354000;206000;0;0;3;0;354000;100.0;1.008;
1669157230555;1;1;tpc-di;3000.0;8;tpc.di.CustomerAccountBlackBox$CustomerAccountUpdateProducer#Account;340000;194000;0;0;3;0;340000;100.0;1.008;
1669157230555;1;1;tpc-di;3000.0;8;tpc.di.MergeUpdateBlackBox$MergeUpdateProducer#FINWIRE;17297000;10477000;0;0;148;3000000;20297000;85.219;1.392;
1669157230555;1;1;tpc-di;3000.0;8;tpc.di.TradeSourceUpdateBlackBox$TradeSourceUpdateProducer#ALL;87576000;54508000;0;0;1274;9000000;96576000;90.681;2.984;
1669157230555;1;1;tpc-di;3000.0;8;tpc.di.TradeSourceUpdateBlackBox$TradeSourceUpdateProducer#TradeSource;79629000;50305000;0;0;1274;9000000;88629000;89.845;2.804;
1669157230555;1;1;tpc-di;3000.0;8;tpc.di.scheduler.CustomerMgmtScheduler#CustomerMgmt;30578000;14248000;0;0;88;0;30578000;100.0;1.693;
1669157230555;1;1;tpc-di;3000.0;8;tpc.di.scheduler.CustomerMgmtUpdateRowWorker#worker#0;67126000;60391000;0;0;1089;140000000;207126000;32.408;2.521;
1669157230555;1;1;tpc-di;3000.0;8;tpc.di.scheduler.CustomerMgmtUpdateRowWorker#worker#1;21406000;15410000;1;0;1180;247000000;268406000;7.975;1.485;
1669157230555;1;1;tpc-di;3000.0;8;tpc.di.scheduler.CustomerMgmtUpdateRowWorker#worker#2;20095000;14393000;1;0;1185;244000000;264095000;7.609;1.455;
1669157230555;1;1;tpc-di;3000.0;8;tpc.di.scheduler.CustomerMgmtUpdateRowWorker#worker#3;22137000;16291000;1;0;1152;248000000;270137000;8.195;1.502;
1669157230555;1;1;tpc-di;3000.0;8;tpc.di.scheduler.CustomerMgmtUpdateRowWorker#worker#4;12970000;7595000;0;0;1227;258000000;270970000;4.787;1.294;
1669157230555;1;1;tpc-di;3000.0;8;tpc.di.scheduler.CustomerMgmtUpdateRowWorker#worker#5;10989000;5752000;0;0;1235;261000000;271989000;4.04;1.249;
1669157230555;1;1;tpc-di;3000.0;8;tpc.di.scheduler.CustomerMgmtUpdateRowWorker#worker#6;11920000;6778000;0;0;1235;259000000;270920000;4.4;1.27;
1669157230555;1;1;tpc-di;3000.0;8;tpc.di.scheduler.CustomerMgmtUpdateRowWorker#worker#7;12187000;7505000;1;0;1204;259000000;271187000;4.494;1.276;
1669157356256;1;1;tpc-di;6000.0;8;ALL#SCHEDULERS;36595208000;16361605000;0;0;2874922;2748903000000;2785498208000;1.314;610.615;
1669157356256;1;1;tpc-di;6000.0;8;ALL#pdgf.util.caching.experimental.BucketSortOutputFileWriterIMPL$HouseKeeper;2751714000;491440000;0;0;196377;23319000000;26070714000;10.555;46.839;
1669157356256;1;1;tpc-di;6000.0;8;ALL#worker#0;3350966000;3231796000;3;0;13923;2077000000;5427966000;61.735;56.822;
1669157356256;1;1;tpc-di;6000.0;8;ALL#worker#1;3330732000;3205211000;7;0;12997;2039000000;5369732000;62.028;56.484;
1669157356256;1;1;tpc-di;6000.0;8;ALL#worker#2;3266198000;3133341000;3;13000000;12267;2143000000;5422198000;60.238;55.409;
1669157356256;1;1;tpc-di;6000.0;8;ALL#worker#3;3202103000;3076824000;1;0;12233;2221000000;5423103000;59.046;54.342;
1669157356256;1;1;tpc-di;6000.0;8;ALL#worker#4;3229677000;3112437000;2;0;12339;2251000000;5480677000;58.928;54.801;
1669157356256;1;1;tpc-di;6000.0;8;ALL#worker#5;3175698000;3060448000;1;0;12195;2282000000;5457698000;58.187;53.902;
1669157356256;1;1;tpc-di;6000.0;8;ALL#worker#6;3115410000;3000058000;4;0;11867;2290000000;5405410000;57.635;52.898;
1669157356256;1;1;tpc-di;6000.0;8;ALL#worker#7;3075767000;2962281000;2;0;11449;2331000000;5406767000;56.887;52.237;
1669157356256;1;1;tpc-di;6000.0;8;All#PausedThread;299967000;115861000;0;0;10125;5652000000;5951967000;5.04;5.997;
1669157356256;1;1;tpc-di;6000.0;8;pdgf.core.dataGenerator.CDCUpdateProducer#ALL;110654000;85061000;0;0;614;34000000;144654000;76.496;2.843;
1669157356256;1;1;tpc-di;6000.0;8;pdgf.core.dataGenerator.CDCUpdateProducer#BatchDate;793000;597000;0;0;3;0;793000;100.0;1.013;
1669157356256;1;1;tpc-di;6000.0;8;pdgf.core.dataGenerator.CDCUpdateProducer#Customer;151000;90000;0;0;3;0;151000;99.999;1.003;
1669157356256;1;1;tpc-di;6000.0;8;pdgf.core.dataGenerator.CDCUpdateProducer#DailyMarket;55650000;40784000;0;0;434;29000000;84650000;65.741;1.927;
1669157356256;1;1;tpc-di;6000.0;8;pdgf.core.dataGenerator.CDCUpdateProducer#WatchHistory;43413000;36434000;0;0;174;5000000;48413000;89.672;1.723;
1669157356256;1;1;tpc-di;6000.0;8;pdgf.core.dataGenerator.scheduler.DbDumpUpdateScheduler#Prospect;434000;207000;0;0;6;109000000;109434000;0.397;1.007;
1669157356256;1;1;tpc-di;6000.0;8;pdgf.core.dataGenerator.scheduler.DefaultScheduler#Date;141000;66000;0;0;0;0;141000;99.999;1.002;
1669157356256;1;1;tpc-di;6000.0;8;pdgf.core.dataGenerator.scheduler.DefaultScheduler#HR;82000;40000;0;0;0;0;82000;99.999;1.001;
1669157356256;1;1;tpc-di;6000.0;8;pdgf.core.dataGenerator.scheduler.DefaultScheduler#Industry;36000;10000;0;0;0;0;36000;99.997;1.001;
1669157356256;1;1;tpc-di;6000.0;8;pdgf.core.dataGenerator.scheduler.DefaultScheduler#StatusType;1077000;1062000;0;0;0;0;1077000;100.0;1.018;
1669157356256;1;1;tpc-di;6000.0;8;pdgf.core.dataGenerator.scheduler.DefaultScheduler#TaxRate;93000;49000;0;0;0;0;93000;99.999;1.002;
1669157356256;1;1;tpc-di;6000.0;8;pdgf.core.dataGenerator.scheduler.DefaultScheduler#Time;131000;77000;0;0;0;0;131000;99.999;1.002;
1669157356256;1;1;tpc-di;6000.0;8;pdgf.core.dataGenerator.scheduler.DefaultScheduler#TradeType;39000;12000;0;0;0;0;39000;99.997;1.001;
1669157356256;1;1;tpc-di;6000.0;8;pdgf.core.dataGenerator.scheduler.UpdateScheduler#Account;207000;70000;0;0;3;0;207000;100.0;1.003;
1669157356256;1;1;tpc-di;6000.0;8;pdgf.core.dataGenerator.scheduler.UpdateScheduler#BatchDate;510000;255000;0;0;6;2000000;2510000;20.319;1.008;
